 Wtype Chip HalfROC Channel ROCpin Cell TrLink TrCell iu iv trace t
 H 3 1 6 42 313 2 0 16 7 0.00 1
 H 3 1 7 43 292 2 0 15 7 0.00 1
 H 3 1 8 44 314 2 0 16 8 0.00 1
 H 3 1 9 45 331 2 2 17 6 0.00 1
 H 3 1 10 46 332 2 2 17 7 0.00 1
 H 3 1 11 47 312 2 2 16 6 0.00 1
 H 3 1 12 48 330 2 2 17 5 0.00 1
 H 3 1 13 49 310 2 2 16 4 0.00 1
 H 3 1 14 50 311 2 2 16 5 0.00 1
 H 3 1 15 51 290 2 2 15 5 0.00 1
 H 3 1 16 52 289 2 2 15 4 0.00 1
 H 3 1 17 53 288 2 2 15 3 0.00 1
 H 3 1 18 CALIB1 268 -1 -1 14 4 0.00 0
 H 3 1 19 54 267 2 1 14 4 0.00 1
 H 3 1 20 55 241 2 1 13 1 0.00 1
 H 3 1 21 56 266 2 1 14 3 0.00 1
 H 3 1 22 57 265 2 1 14 2 0.00 1
 H 3 1 23 58 242 2 1 13 2 0.00 1
 H 3 1 24 59 217 2 1 12 0 0.00 1
 H 3 1 25 60 219 2 1 12 2 0.00 1
 H 3 1 26 61 218 2 1 12 1 0.00 1
 H 3 1 27 62 243 2 1 13 3 0.00 1
 H 3 1 28 63 269 2 3 14 5 0.00 1
 H 3 1 29 64 271 2 3 14 7 0.00 1
 H 3 1 30 65 270 2 3 14 6 0.00 1
 H 3 1 31 66 244 2 3 13 4 0.00 1
 H 3 1 32 67 220 2 3 12 3 0.00 1
 H 3 1 33 68 246 2 3 13 6 0.00 1
 H 3 1 34 69 221 2 3 12 4 0.00 1
 H 3 1 35 70 245 2 3 13 5 0.00 1
 H 3 1 36 71 222 2 3 12 5 0.00 1
 H 4 0 0 0 189 0 0 10 18 0.00 1
 H 4 0 1 1 213 0 0 11 19 0.00 1
 H 4 0 2 2 235 0 0 12 18 0.00 1
 H 4 0 3 3 212 0 0 11 18 0.00 1
 H 4 0 4 4 260 0 0 13 20 0.00 1
 H 4 0 5 5 237 0 0 12 20 0.00 1
 H 4 0 6 6 284 0 0 14 20 0.00 1
 H 4 0 7 7 259 0 0 13 19 0.00 1
 H 4 0 8 8 236 0 0 12 19 0.00 1
 H 4 0 9 9 328 0 2 16 22 0.00 1
 H 4 0 10 10 285 0 2 14 21 0.00 1
 H 4 0 11 11 307 0 2 15 21 0.00 1
 H 4 0 12 12 348 0 2 17 23 0.00 1
 H 4 0 13 13 286 0 2 14 22 0.00 1
 H 4 0 14 14 261 0 2 13 21 0.00 1
 H 4 0 15 15 308 0 2 15 22 0.00 1
 H 4 0 16 16 329 0 2 16 23 0.00 1
 H 4 0 17 17 309 0 2 15 23 0.00 1
 H 4 0 18 CALIB0 262 -1 -1 13 21 0.00 0
 H 4 0 19 18 287 0 1 14 23 0.00 1
 H 4 0 20 19 240 0 1 12 23 0.00 1
 H 4 0 21 20 264 0 1 13 23 0.00 1
 H 4 0 22 21 263 0 1 13 22 0.00 1
 H 4 0 23 22 239 0 1 12 22 0.00 1
 H 4 0 24 23 215 0 1 11 21 0.00 1
 H 4 0 25 24 216 0 1 11 22 0.00 1
 H 4 0 26 25 238 0 1 12 21 0.00 1
